Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","C_100uF 35V elec","CP_Elec_6.3x7.7",116.750000,-64.000000,0.000000,top
"C2","C_10uF 25V","C_0603_1608Metric",116.250000,-70.750000,270.000000,top
"C3","C_2.2uF 100V","C_1206_3216Metric",146.000000,-63.700000,90.000000,top
"C4","C_2.2uF 100V","C_1206_3216Metric",143.750000,-63.700000,90.000000,top
"C5","C_10uF 25V","C_0603_1608Metric",120.650000,-69.150000,270.000000,top
"C6","C_10uF 25V","C_0603_1608Metric",127.600000,-73.750000,180.000000,top
"C7","C_10uF 25V","C_0603_1608Metric",136.750000,-70.750000,90.000000,top
"C8","C_10uF 25V","C_0603_1608Metric",147.050000,-78.250000,90.000000,top
"C9","C_10uF 25V","C_0603_1608Metric",113.500000,-78.250000,180.000000,top
"C10","C_10nF 25V","C_0603_1608Metric",147.250000,-76.000000,0.000000,top
"C11","C_10uF 25V","C_0603_1608Metric",145.750000,-73.750000,270.000000,top
"C12","C_10nF 25V","C_0603_1608Metric",127.600000,-75.250000,180.000000,top
"D1","D_Zener","D_SOD-323",148.750000,-78.350000,90.000000,top
"D2","D_Zener","D_SOD-323",113.650000,-74.950000,0.000000,top
"D3","D_Small","D_SOD-123F",143.750000,-74.500000,90.000000,top
"L1","L_Small","L_Bourns_SRR1210A",128.250000,-66.500000,180.000000,top
"Q1","BSC105N10LSFG","TDSON-8-1",142.800000,-69.050000,270.000000,top
"Q2","BSC105N10LSFG","TDSON-8-1",138.800000,-63.050000,90.000000,top
"R1","R_10K","R_1206_3216Metric",150.850000,-77.700000,270.000000,top
"R2","R_2.2k","R_0603_1608Metric",125.500000,-74.500000,90.000000,top
"R3","R_10k","R_0603_1608Metric",124.000000,-74.500000,270.000000,top
"R4","R_1M","R_0805_2012Metric",147.550000,-70.500000,270.000000,top
"R5","R_10k","R_0603_1608Metric",147.600000,-73.700000,90.000000,top
"R6","R_47","R_0603_1608Metric",113.500000,-76.650000,0.000000,top
"R7","R_10mR","R_0603_1608Metric",119.150000,-69.150000,270.000000,top
"R8","R_4.7","R_0603_1608Metric",143.250000,-78.250000,90.000000,top
"R9","R_4.7","R_0603_1608Metric",138.250000,-70.750000,90.000000,top
"R10","R_47","R_0603_1608Metric",128.000000,-78.200000,270.000000,top
"U1","STM32G030F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",133.000000,-76.250000,270.000000,top
"U2","IR2181","SO-8_3.9x4.9mm_P1.27mm",139.750000,-76.000000,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",119.750000,-75.500000,270.000000,top
"U4","INA180A2 (G50)","SOT-23-6",125.250000,-77.900000,0.000000,top
